WORD,COUNT
commandment,140
become,139
disse,139
green,139
thence,139
wherein,139
arise,138
born,138
certain,138
stranger,138
trust,138
followed,137
lui,137
burn,136
rise,136
top,136
treebeard,136
angel,133
faramir,133
money,133
sanctuary,133
tongue,133
wait,133
fat,132
opened,132
others,132
statutes,132
throne,132
ask,131
drew,131
service,131
th,131
fine,130
kill,130
knowledge,130
lips,130
nation,130
neighbour,130
plain,130
sound,130
cloud,129
court,129
hid,129
moment,129
numbered,129
sit,129
able,128
hezekiah,128
tower,128
whither,128
goeth,127
incense,127
lot,127
sabbath,127
wickedness,127
became,126
oden,126
pieces,126
salvation,126
slay,126
sought,126
trouble,126
whatsoever,126
covered,125
captivity,124
family,124
ran,124
towards,124
ear,123
feast,123
spread,123
heads,122
judgments,122
omer,122
understand,122
bless,121
brass,121
cos,121
generations,121
isaac,121
jonathan,121
sing,121
smite,121
wives,121
command,120
enough,120
ents,120
grey,120
hill,120
offered,120
sins,120
verily,120
captains,119
heavens,119
iron,119
spoil,119
assyria,118
nel,118
red,118
samaria,118
believe,117
didst,117
forest,117
need,117
fight,116
honour,116
noise,116
rain,116
sake,116
walls,116
depart,115
got,115
myself,115
names,115
receive,115
sister,115
suburbs,115
sweet,115
air,114
appointed,114
bones,114
grass,114
isengard,114
john,114
road,114
chosen,113
fair,113
moon,113
shewed,113
bow,112
hour,112
seventh,112
shut,112
altro,111
bed,111
chariots,111
curse,111
perish,111
peter,111
desire,110
dust,110
tribes,110
firstborn,109
giveth,109
maketh,109
absalom,108
already,108
burned,108
hard,108
run,108
ve,108
bullock,107
edge,107
flock,107
follow,107
lift,107
ci,106
fallen,106
glad,106
lor,106
possess,106
presence,106
sinned,106
bowed,104
corn,104
eaten,104
jeroboam,104
mayest,104
perch,104
prince,104
quella,104
slowly,104
witness,104
buried,103
generation,103
ready,103
una,103
ashamed,102
elli,102
faces,102
forward,102
portion,102
body,101
garments,101
gilead,101
tent,101
woe,101
alive,100
horse,100
matter,100
oxen,100
possession,100
secret,100
sore,100
utterly,100
wherewith,100
wide,100
bound,99
doors,99
early,99
flee,99
friends,99
length,99
linen,99
lion,99
prepared,99
ram,99
suo,99
clothes,98
food,98
grew,98
least,98
aside,97
esau,97
pillars,97
pit,97
plague,97
teach,97
thither,97
boromir,96
carry,96
chi,96
dream,96
egyptians,96
heavy,96
hide,96
husband,96
journey,96
neck,96
shekels,96
almost,95
beginning,95
consumed,95
guard,95
held,95
led,95
nigh,95
removed,95
ahab,94
anointed,94
arms,94
dove,94
escape,94
famine,94
hate,94
maestro,94
present,94
seeing,94
wash,94
charge,93
cold,93
entered,93
fast,93
goats,93
hearts,93
qual,93
sign,93
stead,93
sua,93
caused,92
looking,92
perhaps,92
vain,92
ammon,91
canaan,91
having,91
prayer,91
watch,91
ass,90
ben,90
hair,90
mark,90
wish,90
wrought,90
arm,89
blind,89
dry,89
either,89
evening,89
ones,89
ring,89
everlasting,88
golden,88
lost,88
morrow,88
moved,88
something,88
strangers,88
su,88
ed,87
ha,87
likewise,87
remnant,87
shame,87
vidi,87
wings,87
wonder,87
declare,86
edom,86
stretched,86
threescore,86
army,85
breadth,85
fool,85
garment,85
greater,85
idols,85
loved,85
lying,85
qui,85
received,85
riders,85
skin,85
abroad,84
daniel,84
deal,84
destruction,84
due,84
fourth,84
greatly,84
jehoshaphat,84
low,84
wild,84
grave,83
maybe,83
reproach,83
ride,83
sick,83
trespass,83
troubled,83
tutto,83
vanity,83
always,82
choose,82
friend,82
lands,82
path,82
pharisees,82
poco,82
poured,82
remain,82
rod,82
tra,82
worship,82
along,81
branches,81
com,81
dal,81
does,81
draw,81
each,81
eight,81
feared,81
felt,81
flocks,81
folk,81
knowest,81
lambs,81
legs,81
messengers,81
orc,81
pitched,81
prophesy,81
rohan,81
sky,81
spoke,81
stream,81
atonement,80
breath,80
cover,80
hearkened,80
horn,80
increase,80
knoweth,80
pur,80
rams,80
rivers,80
ruler,80
steps,80
altra,79
appeared,79
course,79
else,79
feed,79
image,79
kindled,79
labour,79
prepare,79
prey,79
riches,79
saved,79
weary,79
ancor,78
burden,78
fury,78
lead,78
pure,78
scattered,78
fields,77
gondor,77
height,77
quickly,77
table,77
